SEVERE	175	0	oracle.ide.extension.HashStructureHook	Unexpected runtime exception while delivering HashStructureHookEvent
SEVERE	2800	551876	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2801	2	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2802	5	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2803	1	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2804	2	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2805	2	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2806	1	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	9340	3035953	oracle.dbtools.crest.util.logging.Logger	Error Closing Design!
