SEVERE	159	0	oracle.ide.extension.HashStructureHook	Unexpected runtime exception while delivering HashStructureHookEvent
SEVERE	406	2339249	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "javax.swing.JTable.getColumnModel()" because "this.this$0.table" is null at java.desktop/javax.swing.plaf.basic.BasicTableUI$Handler.setValueIsAdjusting(Unknown Source)
SEVERE	407	117935	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "javax.swing.JTable.getColumnModel()" because "this.this$0.table" is null at java.desktop/javax.swing.plaf.basic.BasicTableUI$Handler.setValueIsAdjusting(Unknown Source)
SEVERE	408	14012	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "javax.swing.JTable.getColumnModel()" because "this.this$0.table" is null at java.desktop/javax.swing.plaf.basic.BasicTableUI$Handler.setValueIsAdjusting(Unknown Source)
SEVERE	409	46695	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "javax.swing.JTable.getColumnModel()" because "this.this$0.table" is null at java.desktop/javax.swing.plaf.basic.BasicTableUI$Handler.setValueIsAdjusting(Unknown Source)
SEVERE	413	44152	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "javax.swing.JTable.getColumnModel()" because "this.this$0.table" is null at java.desktop/javax.swing.plaf.basic.BasicTableUI$Handler.setValueIsAdjusting(Unknown Source)
SEVERE	2433	279464	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2434	17	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2435	1	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2436	10	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2437	34	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2438	1	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2440	1	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	3486	35246	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "oracle.dbtools.crest.model.design.storage.StorageObject.getParent()" because "this.this$0.selectedNode" is null at oracle.dbtools.crest.swingui.browser.BrowserPanel$86.actionPerformed(BrowserPanel.java:2676)
SEVERE	3487	2620	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "oracle.dbtools.crest.model.design.storage.StorageObject.getParent()" because "this.this$0.selectedNode" is null at oracle.dbtools.crest.swingui.browser.BrowserPanel$86.actionPerformed(BrowserPanel.java:2676)
SEVERE	68406	1266028	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "javax.swing.JTable.getColumnModel()" because "this.this$0.table" is null at java.desktop/javax.swing.plaf.basic.BasicTableUI$Handler.setValueIsAdjusting(Unknown Source)
SEVERE	68410	31942	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "javax.swing.JTable.getColumnModel()" because "this.this$0.table" is null at java.desktop/javax.swing.plaf.basic.BasicTableUI$Handler.setValueIsAdjusting(Unknown Source)
SEVERE	68447	160237	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "oracle.dbtools.crest.model.design.storage.StorageObject.getParent()" because "this.this$0.selectedNode" is null at oracle.dbtools.crest.swingui.browser.BrowserPanel$86.actionPerformed(BrowserPanel.java:2676)
