SEVERE	154	0	oracle.ide.extension.HashStructureHook	Unexpected runtime exception while delivering HashStructureHookEvent
SEVERE	2412	678177	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2413	60	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2414	1	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2415	18	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2416	2	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2417	1	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2419	1	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	29874	657899	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	null at java.base/java.util.ArrayList$Itr.checkForComodification(Unknown Source)
SEVERE	162371	3628235	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "javax.swing.JTable.getColumnModel()" because "this.this$0.table" is null at java.desktop/javax.swing.plaf.basic.BasicTableUI$Handler.setValueIsAdjusting(Unknown Source)
SEVERE	335110	13887756	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "javax.swing.JTable.getColumnModel()" because "this.this$0.table" is null at java.desktop/javax.swing.plaf.basic.BasicTableUI$Handler.setValueIsAdjusting(Unknown Source)
SEVERE	335116	203475	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "javax.swing.JTable.getColumnModel()" because "this.this$0.table" is null at java.desktop/javax.swing.plaf.basic.BasicTableUI$Handler.setValueIsAdjusting(Unknown Source)
SEVERE	335117	14071	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "javax.swing.JTable.getColumnModel()" because "this.this$0.table" is null at java.desktop/javax.swing.plaf.basic.BasicTableUI$Handler.setValueIsAdjusting(Unknown Source)
SEVERE	335118	11780	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "javax.swing.JTable.getColumnModel()" because "this.this$0.table" is null at java.desktop/javax.swing.plaf.basic.BasicTableUI$Handler.setValueIsAdjusting(Unknown Source)
SEVERE	335119	5263	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "javax.swing.JTable.getColumnModel()" because "this.this$0.table" is null at java.desktop/javax.swing.plaf.basic.BasicTableUI$Handler.setValueIsAdjusting(Unknown Source)
SEVERE	335120	6628	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "javax.swing.JTable.getColumnModel()" because "this.this$0.table" is null at java.desktop/javax.swing.plaf.basic.BasicTableUI$Handler.setValueIsAdjusting(Unknown Source)
SEVERE	466726	13240543	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	timetable_update.sql expired 0.007s ago (see "Caused by:" stack trace below); reported from ExpiredTextBuffer on thread AWT-EventQueue-0 active AWT event:
	java.awt.event.FocusEvent[FOCUS_LOST,permanent,opposite=null,cause=CLEAR_GLOBAL_FOCUS_OWNER] on Editor1_MAIN at oracle.ide.model.ExpiredTextBuffer.newExpiredTextBufferException(ExpiredTextBuffer.java:55)
SEVERE	770910	8021401	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	local_leadsuser_192.168.1.48~7 expired 0.002s ago (see "Caused by:" stack trace below); reported from ExpiredTextBuffer on thread AWT-EventQueue-0 active AWT event:
	java.awt.event.FocusEvent[FOCUS_LOST,permanent,opposite=null,cause=CLEAR_GLOBAL_FOCUS_OWNER] on Editor1_MAIN at oracle.ide.model.ExpiredTextBuffer.newExpiredTextBufferException(ExpiredTextBuffer.java:55)
SEVERE	803438	2610891	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "javax.swing.JTable.getColumnModel()" because "this.this$0.table" is null at java.desktop/javax.swing.plaf.basic.BasicTableUI$Handler.setValueIsAdjusting(Unknown Source)
SEVERE	803443	60655	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "com.oracle.jdeveloper.nbwindowsystem.NbStructuredPropertyAccess.getChildNodes(String)" because "this.props" is null at com.oracle.jdeveloper.nbwindowsystem.NbEditorContainer.getURL(NbEditorContainer.java:1029)
SEVERE	803444	29	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "com.oracle.jdeveloper.nbwindowsystem.NbStructuredPropertyAccess.getChildNodes(String)" because "this.props" is null at com.oracle.jdeveloper.nbwindowsystem.NbEditorContainer.getURL(NbEditorContainer.java:1029)
