SEVERE	134	0	oracle.ide.extension.HashStructureHook	Unexpected runtime exception while delivering HashStructureHookEvent
SEVERE	3541	33264	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	3548	3	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	3549	1	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	3550	1	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	3551	1	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	3552	2	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	3553	1	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	16551	297570	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "javax.swing.JTable.getColumnModel()" because "this.this$0.table" is null at java.desktop/javax.swing.plaf.basic.BasicTableUI$Handler.setValueIsAdjusting(Unknown Source)
SEVERE	18360	218074	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "javax.swing.JTable.getColumnModel()" because "this.this$0.table" is null at java.desktop/javax.swing.plaf.basic.BasicTableUI$Handler.setValueIsAdjusting(Unknown Source)
SEVERE	18361	7460	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "javax.swing.JTable.getColumnModel()" because "this.this$0.table" is null at java.desktop/javax.swing.plaf.basic.BasicTableUI$Handler.setValueIsAdjusting(Unknown Source)
SEVERE	18365	31659	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "javax.swing.JTable.getColumnModel()" because "this.this$0.table" is null at java.desktop/javax.swing.plaf.basic.BasicTableUI$Handler.setValueIsAdjusting(Unknown Source)
SEVERE	18366	8803	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "javax.swing.JTable.getColumnModel()" because "this.this$0.table" is null at java.desktop/javax.swing.plaf.basic.BasicTableUI$Handler.setValueIsAdjusting(Unknown Source)
SEVERE	235800	4053650	oracle.jdbc.driver.OracleParameterMetaData	Parameter Metadata cache size is invalid: %s - disabling cache
SEVERE	235801	1	oracle.jdbc.driver.OracleParameterMetaData	Parameter Metadata cache size can not be negative: disabling cache
