SEVERE	141	0	oracle.ide.extension.HashStructureHook	Unexpected runtime exception while delivering HashStructureHookEvent
SEVERE	386	177609	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "com.oracle.jdeveloper.nbwindowsystem.NbStructuredPropertyAccess.getChildNodes(String)" because "this.props" is null at com.oracle.jdeveloper.nbwindowsystem.NbEditorContainer.getURL(NbEditorContainer.java:1029)
SEVERE	387	32	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "com.oracle.jdeveloper.nbwindowsystem.NbStructuredPropertyAccess.getChildNodes(String)" because "this.props" is null at com.oracle.jdeveloper.nbwindowsystem.NbEditorContainer.getURL(NbEditorContainer.java:1029)
SEVERE	2409	1586193	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2410	2	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2411	1	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2412	17	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2413	11	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2414	5	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2415	1	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	9403	1565095	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "javax.swing.JTable.getColumnModel()" because "this.this$0.table" is null at java.desktop/javax.swing.plaf.basic.BasicTableUI$Handler.setValueIsAdjusting(Unknown Source)
SEVERE	10733	116852	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	Cannot invoke "javax.swing.JTable.getColumnModel()" because "this.this$0.table" is null at java.desktop/javax.swing.plaf.basic.BasicTableUI$Handler.setValueIsAdjusting(Unknown Source)
SEVERE	70255	6723393	oracle.jdbc.driver.OracleParameterMetaData	Parameter Metadata cache size is invalid: %s - disabling cache
SEVERE	70256	1	oracle.jdbc.driver.OracleParameterMetaData	Parameter Metadata cache size can not be negative: disabling cache
