SEVERE	153	0	oracle.ide.extension.HashStructureHook	Unexpected runtime exception while delivering HashStructureHookEvent
SEVERE	2655	103486	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2656	2	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2657	1	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2658	2	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2659	2	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2660	1	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	2661	1	oracle.dbtools.raptor.oviewer.base.ViewerAddin$XMLParser	Could not Load :oracle.dbtools.raptor.plsql.PLSQLCodeViewer cannot be found by oracle.sqldeveloper_24.3.1
SEVERE	3786	95825	oracle.jdbc.driver.OracleParameterMetaData	Parameter Metadata cache size is invalid: %s - disabling cache
SEVERE	3787	1	oracle.jdbc.driver.OracleParameterMetaData	Parameter Metadata cache size can not be negative: disabling cache
SEVERE	8962	132570	oracle.dbtools.raptor.backgroundTask.RaptorTaskManager$1	school_weekday_proc.sql expired 0.009s ago (see "Caused by:" stack trace below); reported from ExpiredTextBuffer on thread AWT-EventQueue-0 active AWT event:
	java.awt.event.FocusEvent[FOCUS_LOST,permanent,opposite=null,cause=CLEAR_GLOBAL_FOCUS_OWNER] on Editor1_MAIN at oracle.ide.model.ExpiredTextBuffer.newExpiredTextBufferException(ExpiredTextBuffer.java:55)
SEVERE	40561	740576	oracle.dbtools.crest.util.logging.Logger	Error Closing Design!
