SEVERE	134	0	oracle.ide.extension.HashStructureHook	Unexpected runtime exception while delivering HashStructureHookEvent
SEVERE	348	9658	oracle.dbtools.crest.util.logging.Logger	Problem with System Data Types directory - probably doesn't exist/n/Users/leads/Documents/cognitiveLamp/mywork/leadsuser
SEVERE	352	26079	oracle.dbtools.crest.util.logging.Logger	Problem with System Data Types directory - probably doesn't exist/n/Users/leads/Documents/cognitiveLamp/mywork/leadsuser
SEVERE	353	11629	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	354	1	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	355	1	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	356	0	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	357	1	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	358	0	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	359	0	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	360	9	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	361	1	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	362	0	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	363	0	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	364	1	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	365	0	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	366	0	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	367	5	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	368	1	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	369	0	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	370	0	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	371	1	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	372	0	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	373	0	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	374	5	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	375	0	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	376	1	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	377	0	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	378	0	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	379	0	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	380	1	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	381	10	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	382	1	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	383	0	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
SEVERE	384	1	oracle.dbtools.crest.util.logging.Logger	Illegal argument for setter
